what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1299257277678
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1299257277691
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1299257277698
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1299257277699
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1299257277706
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1299257277708
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1299257277709
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1299257277713
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1299257277714
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1299257277724
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1299257277727
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1299257277729
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1299257277729
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1299257277730
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1299257277731
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1299257277734
os,sysinfo,,,"linux",1299257277744
arch,sysinfo,,,"x86_64",1299257277744
ws,sysinfo,,,"gtk",1299257277744
locale,sysinfo,,,"en_US",1299257277744
processors,sysinfo,,,"2",1299257277744
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1299257277744
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1299257277744
java.specification.name,sysinfo,,,"Java Platform API Specification",1299257277744
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299257277744
java.specification.version,sysinfo,,,"1.6",1299257277744
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1299257277744
java.version,sysinfo,,,"1.6.0_20",1299257277744
java.vm.info,sysinfo,,,"mixed mode",1299257277744
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1299257277744
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1299257277744
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1299257277744
java.vm.specification.version,sysinfo,,,"1.0",1299257277744
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1299257277744
java.vm.version,sysinfo,,,"19.0-b09",1299257277744
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1299257277783
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1299257277811
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1299257277982
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1299257278010
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1299257278030
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1299257278252
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1299257278255
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1299257279245
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1299257279263
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257287698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299257304049
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1299257305364
